,상품군별(1),운영형태별(1),날짜,거래액
361,이쿠폰서비스,온·오프라인 병행몰,2017.08,1902
362,음식서비스,온라인 전용몰,2017.08,227686
363,음식서비스,온·오프라인 병행몰,2017.08,26074
364,기타서비스,온라인 전용몰,2017.08,30899
365,기타서비스,온·오프라인 병행몰,2017.08,21720
366,기타,온라인 전용몰,2017.08,160908
367,기타,온·오프라인 병행몰,2017.08,18397
368,컴퓨터 및 주변기기,온라인 전용몰,2017.09,325546
369,컴퓨터 및 주변기기,온·오프라인 병행몰,2017.09,73966
370,가전·전자·통신기기,온라인 전용몰,2017.09,539802
371,가전·전자·통신기기,온·오프라인 병행몰,2017.09,166856
372,서적,온라인 전용몰,2017.09,42037
373,서적,온·오프라인 병행몰,2017.09,94628
374,사무·문구,온라인 전용몰,2017.09,45933
375,사무·문구,온·오프라인 병행몰,2017.09,14542
376,의복,온라인 전용몰,2017.09,720959
377,의복,온·오프라인 병행몰,2017.09,238720
378,신발,온라인 전용몰,2017.09,96849
379,신발,온·오프라인 병행몰,2017.09,43397
380,가방,온라인 전용몰,2017.09,113112
381,가방,온·오프라인 병행몰,2017.09,52103
382,패션용품 및 액세서리,온라인 전용몰,2017.09,94303
383,패션용품 및 액세서리,온·오프라인 병행몰,2017.09,76042
384,스포츠·레저용품,온라인 전용몰,2017.09,216619
385,스포츠·레저용품,온·오프라인 병행몰,2017.09,48847
386,화장품,온라인 전용몰,2017.09,251137
387,화장품,온·오프라인 병행몰,2017.09,465978
388,아동·유아용품,온라인 전용몰,2017.09,234263
389,아동·유아용품,온·오프라인 병행몰,2017.09,38013
390,음·식료품,온라인 전용몰,2017.09,528747
391,음·식료품,온·오프라인 병행몰,2017.09,299105
392,농축수산물,온라인 전용몰,2017.09,168532
393,농축수산물,온·오프라인 병행몰,2017.09,120431
394,생활용품,온라인 전용몰,2017.09,493976
395,생활용품,온·오프라인 병행몰,2017.09,159767
396,자동차 및 자동차용품,온라인 전용몰,2017.09,78165
397,자동차 및 자동차용품,온·오프라인 병행몰,2017.09,8832
398,가구,온라인 전용몰,2017.09,151189
399,가구,온·오프라인 병행몰,2017.09,76612
400,애완용품,온라인 전용몰,2017.09,62112
401,애완용품,온·오프라인 병행몰,2017.09,3965
402,여행 및 교통서비스,온라인 전용몰,2017.09,555825
403,여행 및 교통서비스,온·오프라인 병행몰,2017.09,667123
404,문화 및 레저서비스,온라인 전용몰,2017.09,85559
405,문화 및 레저서비스,온·오프라인 병행몰,2017.09,41472
406,이쿠폰서비스,온라인 전용몰,2017.09,98455
407,이쿠폰서비스,온·오프라인 병행몰,2017.09,1944
408,음식서비스,온라인 전용몰,2017.09,215255
409,음식서비스,온·오프라인 병행몰,2017.09,23863
410,기타서비스,온라인 전용몰,2017.09,100286
411,기타서비스,온·오프라인 병행몰,2017.09,24001
412,기타,온라인 전용몰,2017.09,171058
413,기타,온·오프라인 병행몰,2017.09,21215
414,컴퓨터 및 주변기기,온라인 전용몰,2017.1,287138
415,컴퓨터 및 주변기기,온·오프라인 병행몰,2017.1,66386
416,가전·전자·통신기기,온라인 전용몰,2017.1,550044
417,가전·전자·통신기기,온·오프라인 병행몰,2017.1,178363
418,서적,온라인 전용몰,2017.1,35100
419,서적,온·오프라인 병행몰,2017.1,78632
420,사무·문구,온라인 전용몰,2017.1,41701
421,사무·문구,온·오프라인 병행몰,2017.1,14620
422,의복,온라인 전용몰,2017.1,756720
423,의복,온·오프라인 병행몰,2017.1,277985
424,신발,온라인 전용몰,2017.1,92300
425,신발,온·오프라인 병행몰,2017.1,48065
426,가방,온라인 전용몰,2017.1,104614
427,가방,온·오프라인 병행몰,2017.1,52393
428,패션용품 및 액세서리,온라인 전용몰,2017.1,89854
429,패션용품 및 액세서리,온·오프라인 병행몰,2017.1,71595
430,스포츠·레저용품,온라인 전용몰,2017.1,212557
431,스포츠·레저용품,온·오프라인 병행몰,2017.1,62241
432,화장품,온라인 전용몰,2017.1,240801
433,화장품,온·오프라인 병행몰,2017.1,437076
434,아동·유아용품,온라인 전용몰,2017.1,218708
435,아동·유아용품,온·오프라인 병행몰,2017.1,41833
436,음·식료품,온라인 전용몰,2017.1,391889
437,음·식료품,온·오프라인 병행몰,2017.1,216726
438,농축수산물,온라인 전용몰,2017.1,102396
439,농축수산물,온·오프라인 병행몰,2017.1,72384
440,생활용품,온라인 전용몰,2017.1,460492
441,생활용품,온·오프라인 병행몰,2017.1,141556
442,자동차 및 자동차용품,온라인 전용몰,2017.1,70823
443,자동차 및 자동차용품,온·오프라인 병행몰,2017.1,9652
